unitary
"Operator([[0.94460909-0.1427637j , 0.04416199+0.29220183j],
          [0.04416199+0.29220183j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.94460909-0.1427637j , 0.04416199+0.29220183j],
          [0.04416199+0.29220183j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.94460909-0.1427637j , 0.04416199+0.29220183j],
          [0.04416199+0.29220183j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.94460909-0.1427637j , 0.04416199+0.29220183j],
          [0.04416199+0.29220183j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.94460909-0.1427637j , 0.04416199+0.29220183j],
          [0.04416199+0.29220183j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
